Episode: 196	Total Reward: 95.0	Explore P: 0.2881	Training Loss: 14.8532	Buffer size: 10000.0000
Episode: 197	Total Reward: 15.0	Explore P: 0.2861	Training Loss: 16.0741	Buffer size: 10000.0000
Episode: 198	Total Reward: 12.0	Explore P: 0.2841	Training Loss: 32.8728	Buffer size: 10000.0000
Episode: 199	Total Reward: 42.0	Explore P: 0.2827	Training Loss: 13.2494	Buffer size: 10000.0000
Episode: 200	Total Reward: -125.0	Explore P: 0.2800	Training Loss: 22.2720	Buffer size: 10000.0000
Episode: 201	Total Reward: 87.0	Explore P: 0.2796	Training Loss: 24.3649	Buffer size: 10000.0000
Episode: 202	Total Reward: 76.0	Explore P: 0.2791	Training Loss: 9.9165	Buffer size: 10000.0000
Episode: 203	Total Reward: 1.0	Explore P: 0.2770	Training Loss: 11.5339	Buffer size: 10000.0000
Episode: 204	Total Reward: 95.0	Explore P: 0.2768	Training Loss: 26.3911	Buffer size: 10000.0000
Episode: 205	Total Reward: 42.0	Explore P: 0.2755	Training Loss: 57.5408	Buffer size: 10000.0000
Episode: 206	Total Reward: 95.0	Explore P: 0.2753	Training Loss: 14.8949	Buffer size: 10000.0000
Episode: 207	Total Reward: 48.0	Explore P: 0.2742	Training Loss: 7.2841	Buffer size: 10000.0000
Episode: 208	Total Reward: -125.0	Explore P: 0.2716	Training Loss: 5.5517	Buffer size: 10000.0000
Episode: 209	Total Reward: -5.0	Explore P: 0.2693	Training Loss: 13.0697	Buffer size: 10000.0000
Episode: 210	Total Reward: 23.0	Explore P: 0.2677	Training Loss: 16.8306	Buffer size: 10000.0000
Episode: 211	Total Reward: -125.0	Explore P: 0.2651	Training Loss: 10.3714	Buffer size: 10000.0000
Episode: 212	Total Reward: 76.0	Explore P: 0.2646	Training Loss: 17.5530	Buffer size: 10000.0000
Episode: 213	Total Reward: -24.0	Explore P: 0.2621	Training Loss: 10.3323	Buffer size: 10000.0000
Episode: 214	Total Reward: -125.0	Explore P: 0.2596	Training Loss: 5.3521	Buffer size: 10000.0000
Episode: 215	Total Reward: 69.0	Explore P: 0.2589	Training Loss: 11.7386	Buffer size: 10000.0000
Episode: 216	Total Reward: 95.0	Explore P: 0.2588	Training Loss: 24.0284	Buffer size: 10000.0000
Episode: 217	Total Reward: -130.0	Explore P: 0.2563	Training Loss: 21.9135	Buffer size: 10000.0000
Episode: 218	Total Reward: 21.0	Explore P: 0.2547	Training Loss: 11.7209	Buffer size: 10000.0000
Episode: 219	Total Reward: 12.0	Explore P: 0.2529	Training Loss: 13.8681	Buffer size: 10000.0000
Episode: 220	Total Reward: -130.0	Explore P: 0.2505	Training Loss: 11.2277	Buffer size: 10000.0000
Episode: 221	Total Reward: 50.0	Explore P: 0.2494	Training Loss: 7.2931	Buffer size: 10000.0000
Episode: 222	Total Reward: 94.0	Explore P: 0.2492	Training Loss: 12.5239	Buffer size: 10000.0000
Episode: 223	Total Reward: -125.0	Explore P: 0.2468	Training Loss: 12.2280	Buffer size: 10000.0000
Episode: 224	Total Reward: -8.0	Explore P: 0.2447	Training Loss: 19.1742	Buffer size: 10000.0000
Episode: 225	Total Reward: 92.0	Explore P: 0.2445	Training Loss: 7.1629	Buffer size: 10000.0000
Episode: 226	Total Reward: 50.0	Explore P: 0.2436	Training Loss: 6.4402	Buffer size: 10000.0000
Episode: 227	Total Reward: 66.0	Explore P: 0.2429	Training Loss: 13.7395	Buffer size: 10000.0000
Episode: 228	Total Reward: 24.0	Explore P: 0.2414	Training Loss: 10.0332	Buffer size: 10000.0000
Episode: 229	Total Reward: -120.0	Explore P: 0.2391	Training Loss: 12.8750	Buffer size: 10000.0000
Episode: 230	Total Reward: 24.0	Explore P: 0.2377	Training Loss: 10.1383	Buffer size: 10000.0000
Episode: 231	Total Reward: 21.0	Explore P: 0.2362	Training Loss: 19.8885	Buffer size: 10000.0000
Episode: 232	Total Reward: 75.0	Explore P: 0.2357	Training Loss: 9.8818	Buffer size: 10000.0000
Episode: 233	Total Reward: -125.0	Explore P: 0.2335	Training Loss: 9.2892	Buffer size: 10000.0000
Episode: 234	Total Reward: 57.0	Explore P: 0.2327	Training Loss: 13.4364	Buffer size: 10000.0000
Episode: 235	Total Reward: 93.0	Explore P: 0.2326	Training Loss: 9.9613	Buffer size: 10000.0000
Episode: 236	Total Reward: 95.0	Explore P: 0.2324	Training Loss: 8.2047	Buffer size: 10000.0000
Episode: 237	Total Reward: 0.0	Explore P: 0.2306	Training Loss: 7.3640	Buffer size: 10000.0000
Episode: 238	Total Reward: -125.0	Explore P: 0.2284	Training Loss: 16.4992	Buffer size: 10000.0000
Episode: 239	Total Reward: 94.0	Explore P: 0.2283	Training Loss: 9.6045	Buffer size: 10000.0000
Episode: 240	Total Reward: -130.0	Explore P: 0.2261	Training Loss: 5.6505	Buffer size: 10000.0000
Episode: 241	Total Reward: 76.0	Explore P: 0.2257	Training Loss: 19.0921	Buffer size: 10000.0000
Episode: 242	Total Reward: 74.0	Explore P: 0.2252	Training Loss: 10.0654	Buffer size: 10000.0000
Episode: 243	Total Reward: -130.0	Explore P: 0.2231	Training Loss: 223.9495	Buffer size: 10000.0000
Episode: 244	Total Reward: -125.0	Explore P: 0.2209	Training Loss: 14.6387	Buffer size: 10000.0000
Episode: 245	Total Reward: -125.0	Explore P: 0.2188	Training Loss: 17.1535	Buffer size: 10000.0000
Episode: 246	Total Reward: -130.0	Explore P: 0.2168	Training Loss: 10.2489	Buffer size: 10000.0000
Episode: 247	Total Reward: -130.0	Explore P: 0.2147	Training Loss: 10.0820	Buffer size: 10000.0000
Episode: 248	Total Reward: -125.0	Explore P: 0.2127	Training Loss: 6.8501	Buffer size: 10000.0000
Episode: 249	Total Reward: -15.0	Explore P: 0.2107	Training Loss: 11.2196	Buffer size: 10000.0000
Episode: 250	Total Reward: -18.0	Explore P: 0.2088	Training Loss: 5.6341	Buffer size: 10000.0000
Episode: 251	Total Reward: -125.0	Explore P: 0.2068	Training Loss: 9.3636	Buffer size: 10000.0000
Episode: 252	Total Reward: -1.0	Explore P: 0.2052	Training Loss: 7.9856	Buffer size: 10000.0000
Episode: 253	Total Reward: 17.0	Explore P: 0.2038	Training Loss: 9.1382	Buffer size: 10000.0000
Episode: 254	Total Reward: -130.0	Explore P: 0.2019	Training Loss: 9.2055	Buffer size: 10000.0000
Episode: 255	Total Reward: 68.0	Explore P: 0.2014	Training Loss: 9.3261	Buffer size: 10000.0000
Episode: 256	Total Reward: 38.0	Explore P: 0.2004	Training Loss: 10.0825	Buffer size: 10000.0000
Episode: 257	Total Reward: 26.0	Explore P: 0.1992	Training Loss: 25.2680	Buffer size: 10000.0000
Episode: 258	Total Reward: -11.0	Explore P: 0.1976	Training Loss: 8.6976	Buffer size: 10000.0000
